Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0402_1005Metric",15.600000,23.630000,-90.000000,top
"C2","0.1u","C_0402_1005Metric",10.750000,22.570000,90.000000,top
"C3","2.2u","C_0805_2012Metric",16.650000,21.650000,180.000000,top
"C4","22u","C_0805_2012Metric",11.950000,19.550000,0.000000,top
"C5","0.22u","C_0402_1005Metric",21.000000,16.030000,-90.000000,top
"C6","0.22u","C_0402_1005Metric",4.925000,15.230000,-90.000000,top
"C7","1.0u","C_0603_1608Metric",15.875000,4.450000,180.000000,top
"C8","0.22u","C_0402_1005Metric",15.420000,3.200000,0.000000,top
"D1","Yellow PC","OSRAM-OSLON-Pure-1414",10.835000,15.050000,180.000000,top
"D2","Red","OSRAM-OSLON-Pure-1414",12.965000,15.300000,0.000000,top
"D3","Violet","Cree_XE-G",15.450000,14.895000,0.000000,top
"D4","White","OSRAM-OSLON-Pure-1414",10.365000,12.950000,180.000000,top
"D5","Photo Red","Cree_XE-G",13.000000,12.950000,90.000000,top
"D6","Cyan","Cree_XE-G",15.485000,12.765000,-90.000000,top
"D7","Green","OSRAM-OSLON-Pure-1414",10.385000,10.850000,180.000000,top
"D8","Far Red","Luxeon_CZ_LED_AK",12.800000,10.450000,0.000000,top
"D9","Blue PC","OSRAM-OSLON-Pure-1414",15.465000,10.670000,180.000000,top
"D10","SKM14","D_SOD-123F",22.775000,19.725000,0.000000,top
"FB1","600Ω","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",17.937500,23.600000,0.000000,top
"L1","15uH","L_1210_3225Metric",8.600000,22.500000,-90.000000,top
"R1","24.9k","R_0603_1608Metric",19.025000,19.800000,0.000000,top
"R3","100k","R_0603_1608Metric",15.975000,19.300000,0.000000,top
"R4","27R","R_0402_1005Metric",21.000000,13.965000,90.000000,top
"R5","27R","R_0402_1005Metric",21.000000,9.975000,90.000000,top
"R6","10R","R_0603_1608Metric",7.075000,6.750000,180.000000,top
"R7","825R","R_0402_1005Metric",15.410000,5.750000,0.000000,top
"R8","12R","R_0603_1608Metric",19.150000,5.675000,90.000000,top
"R9","12R","R_0603_1608Metric",7.150000,3.125000,90.000000,top
"U1","LMR54406DBVR","SOT-23-6",12.987500,22.600000,90.000000,top
"U2","TLC5971RGE","Texas_RGE0024H_VQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias",11.650000,4.837500,0.000000,top
"Z1","5V","R_0402_1005Metric",4.925000,11.950000,-90.000000,top
"Z2","5V","R_0402_1005Metric",21.000000,11.915000,90.000000,top
"Z3","5V","R_0402_1005Metric",4.925000,7.950000,-90.000000,top
"Z4","5V","R_0402_1005Metric",21.000000,7.925000,90.000000,top
